"code","name","state","district","subdivision","pop","tier","lat","lon","canonical"
"SOUTH-GARO","South Garo Hills","MEGHALAYA","SOUTH GARO HILLS","ASSAM & MEGHALAYA",,,25.24,90.68,true
"SOUTH-GOA","South Goa","GOA","SOUTH GOA","KONKAN & GOA",102345,3,15.12,74.06,false
"SOUTH-TRIPURA","South Tripura","TRIPURA","SOUTH TRIPURA","NMMT",19996,3,23.25,91.6,true
"SRC","Gadchiroli","MAHARASHTRA","GADCHIROLI","VIDARBHA",54152,3,18.85,79.97,false
"SRI-KAKULAM","Srikakulam","ANDHRA PRADESH","SRIKAKULAM","COASTAL ANDHRA PRADESH & YANAM",137944,3,18.62,84.09,true
"SRINAGAR","Ganderbal","JAMMU & KASHMIR (UT)","GANDERBAL","JAMMU & KASHMIR AND LADAKH",28233,3,34.17,75.05,false
"SRINAGAR-UK","Srinagar Uttarakhand","UTTARAKHAND","GARHWAL PAURI","UTTARAKHAND",27009,3,30.22,78.81,true
"SRL","SHIRALI","KARNATAKA","UTTARA KANNADA","COASTAL KARNATAKA",77139,3,14.07,74.53,true
"SRN","Srinagar-City","JAMMU & KASHMIR (UT)","SRINAGAR","JAMMU & KASHMIR AND LADAKH",1206419,1,34.08,74.83,true
"SRT","Surat","GUJARAT","SURAT","GUJARAT REGION",4591246,1,21.2,72.83,true
"SS-MANKACHAR","Cooch Behar","WEST BENGAL","COOCH BEHAR","SHWB & SIKKIM",78737,3,25.78,89.61,false
"STA","Satara","MAHARASHTRA","SATARA","MADHYA MAHARASHTRA",120195,3,17.52,74.05,true
"STN","Satna","MADHYA PRADESH","SATNA","EAST MADHYA PRADESH",282977,2,24.57,80.83,true
"STP","Sultanpur","UTTAR PRADESH","SULTANPUR","EAST UTTAR PRADESH",110368,3,26.25,82,true
"SUKMA","Sukma","CHHATTISGARH","SUKMA","CHHATTISGARH",0,3,18.2,81.34,true
"SULTANUR","Sultanpur","UTTAR PRADESH","SULTANPUR","EAST UTTAR PRADESH",110368,3,26.25,82.22,false
"SUN","Sundergarh","ODISHA","SUNDARGARH","ODISHA",273317,2,22.02,84,true
"SUNDERGARH","Sundargarh","ODISHA","SUNDARGARH","ODISHA",273317,2,22.25,84.46,true
"SUP","Supaul","BIHAR","SUPAUL","BIHAR",65437,3,26.13,86.58,true
"SUPAUL","Supaul","BIHAR","SUPAUL","BIHAR",65437,3,26.28,86.76,false
"SURAJPUR","Surajpur","CHHATTISGARH","SURAJPUR","CHHATTISGARH",20189,3,23.38,82.98,true
