"code","station","state","district","subdivision","lat","lon","canonical"
"BAGHPAT","Baghpat","UTTAR PRADESH","BAGHPAT","WEST UTTAR PRADESH",29.04,77.32,true
"BAHRAICH","Bahraich","UTTAR PRADESH","BAHRAICH","EAST UTTAR PRADESH",27.73,81.4,false
"BAKSHA","Baksa","ASSAM","BAKSA","ASSAM & MEGHALAYA",26.65,91.31,true
"BALAGHAT","Balaghat","MADHYA PRADESH","BALAGHAT","EAST MADHYA PRADESH",21.86,80.28,true
"BALAGIR","Balangir","ODISHA","BALANGIR","ODISHA",20.61,83.18,true
"BALASORE","Balasore","ODISHA","BALASORE","ODISHA",21.28,86.68,false
"BALLIA","Ballia","UTTAR PRADESH","BALLIA","EAST UTTAR PRADESH",25.88,84.16,false
"BALOD","Balod","CHHATTISGARH","BALOD","CHHATTISGARH",20.7,81.18,true
"BALODABAZAR","Baloda Bazar","CHHATTISGARH","BALODA BAZAR","CHHATTISGARH",21.54,82.32,true
"BALRAMPUR","Balrampur","CHHATTISGARH","BALRAMPUR","CHHATTISGARH",23.85,83.35,true
"BALTAL","Baltal","LADAKH (UT)","KARGIL","JAMMU & KASHMIR AND LADAKH",34.26,75.42,true
"BANASKANTHA","Banaskantha","GUJARAT","BANASKANTHA","GUJARAT REGION",24.27,72.15,true
"BANDA","Banda","UTTAR PRADESH","BANDA","EAST UTTAR PRADESH",25.44,80.57,false
"BANGALORE-RURAL","Bengaluru Rural","KARNATAKA","BENGALURU RURAL","SOUTHERN INTERIOR KARNATAKA",13.27,77.57,true
"BANKA","Banka","BIHAR","BANKA","BIHAR",24.83,86.83,true
"BANSWARA","Banswara","RAJASTHAN","BANSWARA","EAST RAJASTHAN",23.49,74.36,false
"BARABANKI","Barabanki","UTTAR PRADESH","BARABANKI","EAST UTTAR PRADESH",26.94,81.33,true
"BARAGARH","Bargarh","ODISHA","BARGARH","ODISHA",21.24,83.55,true
"BARAMULLAH","Baramula","JAMMU & KASHMIR (UT)","BARAMULA","JAMMU & KASHMIR AND LADAKH",34.1,74.42,true
"BARAN","Baran","RAJASTHAN","BARAN","EAST RAJASTHAN",24.92,76.82,true
"BAREILLY","Bareilly","UTTAR PRADESH","BAREILLY","WEST UTTAR PRADESH",28.45,79.38,false
"BARKOT","Barkot","UTTARAKHAND","UTTARKASHI","UTTARAKHAND",30.81,78.21,true
"BARMER","Barmer","RAJASTHAN","BARMER","WEST RAJASTHAN",25.58,71.47,false
"BARNALA","Barnala","PUNJAB","BARNALA","PUNJAB",30.39,75.5,true
"BARODA","Vadodara","GUJARAT","VADODARA","GUJARAT REGION",22.31,73.27,false
"BARPETA","Barpeta","ASSAM","BARPETA","ASSAM & MEGHALAYA",26.43,91.09,true
"BASTER","Bastar","CHHATTISGARH","BASTAR","CHHATTISGARH",19.14,81.77,true
"BASTI","Basti","UTTAR PRADESH","BASTI","EAST UTTAR PRADESH",26.76,82.6,true
"BAUDA","Boudh","ODISHA","BOUDH","ODISHA",20.75,84.18,true
"BBS","Bhubneshwar-Airport","ODISHA","KHURDA","ODISHA",20.25,85.83,true
"BDA","Banda","UTTAR PRADESH","BANDA","EAST UTTAR PRADESH",25.47,80.37,true
"BDG","SILIGURI","WEST BENGAL","DARJEELING","SHWB & SIKKIM",26.63,88.32,true
"BDI","Bundi","RAJASTHAN","BUNDI","EAST RAJASTHAN",25.45,75.63,true
"BDN","Buldhana","MAHARASHTRA","BULDHANA","VIDARBHA",20.53,76.23,true
"BDS","Bulandshahar","UTTAR PRADESH","BULANDSHAHAR","WEST UTTAR PRADESH",28.4,77.87,true
"BDU","Badaun","UTTAR PRADESH","BADAUN","WEST UTTAR PRADESH",28.05,79.12,false
"BEGUSARAI","Begusarai","BIHAR","BEGUSARAI","BIHAR",25.51,86.13,true
"BELGAUM","Belagavi","KARNATAKA","BELAGAVI","NORTHERN INTERIOR KARNATAKA",16.16,74.77,false
"BELLARY","Ballari","KARNATAKA","BALLARI","SOUTHERN INTERIOR KARNATAKA",15.19,76.42,true
"BEMATARA","Bemetara","CHHATTISGARH","BEMETARA","CHHATTISGARH",21.65,81.45,true
"BETUL","Betul","MADHYA PRADESH","BETUL","WEST MADHYA PRADESH",21.88,77.78,false
"BGK","Belagavi","KARNATAKA","BELAGAVI","NORTHERN INTERIOR KARNATAKA",16.7,75.25,false
"BGP","Bhagalpur","BIHAR","BHAGALPUR","BIHAR",25.23,86.95,true
"BGT","BALURGHAT","WEST BENGAL","SOUTH DINAJPUR","SHWB & SIKKIM",25.22,88.78,true
"BHABUA","Bhabua","BIHAR","BHABUA","BIHAR",24.98,83.61,true
"BHADRAK","Bhadrak","ODISHA","BHADRAK","ODISHA",20.99,86.62,true
"BHAGALPUR","Bhagalpur","BIHAR","BHAGALPUR","BIHAR",25.28,87.1,false
